Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Zuanetti, Daiane Aparecida; Müller, Peter; Zhu, Yitan; Yang, Shengjie; Ji, Yuan; ",Clustering distributions with the marginalized nested Dirichlet process,Biometrics,74,2,584-594,2018,
"Diniz, MA; Lopes, D; Polpo, A; Salasar, LEB; ",The Sticker Collector′ s Problem,The College Mathematics Journal,47,4,255-263,2016,Taylor & Francis
"Moriguchi, Cristiane Shinohara; Carnaz, Letícia; Silva, Luciana Cristina Cunha Bueno; Salasar, Luis Ernesto Bueno; Carregaro, Rodrigo Luiz; de Oliveira Sato, Tatiana; Coury, Helenice Jane Cote Gil; ",Reliability of intra-and inter-rater palpation discrepancy and estimation of its effects on joint angle measurements,Manual Therapy,14,3,299-305,2009,Elsevier
"Batistão, Mariana Vieira; Moreira, Roberta de Fátima Carreira; Coury, Helenice Jane Cote Gil; Salasar, Luis Ernesto Bueno; Sato, Tatiana de Oliveira; ",Prevalence of postural deviations and associated factors in children and adolescents: a cross-sectional study,Fisioterapia em Movimento,29,,777-786,2016,Pontifícia Universidade Católica do Paraná
"Louzada, Francisco; Suzuki, Adriano K; Salasar, Luis EB; ",Predicting match outcomes in the English Premier League: Which will be the final rank?,Journal of Data Science,12,2,235-254,2014,中華資料採礦協會
"D'ALENCAR, Matheus; Uscapi, Yanina; Dias, Cynthia; Stern, Rafael; Galves, Jefferson; Helene, Andre; Piemonte, Maria Elisa; ",The goalkeeper game has higher prediction power than moca for gait performance in people living with parkinson's disease,,,,,2018,WILEY
"Stern, Rafael B; d’Alencar, Matheus; Uscapi, Yanina L; Gubitoso, Marco D; Roque, Antonio C; Helene, André F; Piemonte, Maria Elisa P; ",Goalkeeper game: a new assessment instrument in neurology showed higher predictive power than moca for gait performance in people with parkinson’s disease,bioRxiv,,,400457,2018,Cold Spring Harbor Laboratory
"Esteves, Luís Gustavo; Wechsler, Sergio; Leite, José Galvão; González-López, Verónica Andrea; ",DeFinettian consensus,Theory and decision,49,,79-96,2000,Kluwer Academic Publishers
"Pereira, Carlos A de B; Nakano, Eduardo Y; Fossaluza, Victor; Esteves, Luís Gustavo; Gannon, Mark A; Polpo, Adriano; ",Hypothesis tests for bernoulli experiments: Ordering the sample space by bayes factors and using adaptive significance levels for decisions,Entropy,19,12,696,2017,MDPI
"Esteves, Luís Gustavo; ",Coincidência de distribuições através de uma transformação de De Finetti,,,,,1997,
"Hollar, David W; Hattie, John; Goldman, Bert; Lancaster, James; Esteves, LG; Wechsler, S; Leite, JG; González-López, VA; Consensus, DeFinettian; Sense’Environments, Broad; ",DeFinettian Consensus,,,,,2000,
"Esteves, Luís Gustavo; Wechsler, Sergio; Iglesias, PL; ",Some characterizations of uniform models,Statistics & probability letters,69,4,397-404,2004,North-Holland
"de Carvalho, Helton Graziadei; Esteves, Luis Gustavo; ",A Bayesian Test for Marginal Homogeneity in Contingency Tables,31st International Workshop on Statistical Modelling,,,29,2016,
"Madruga, M Regina; Esteves, Luis G; Wechsler, Sergio; ",On the bayesianity of pereira-stern tests,Test,10,,291-299,2001,Springer-Verlag
"Fernandes, António Miguel; Esteves, Luís; Lobo, Maria João; Leite, João; Morais, Jorge; Fernandes, Fátima; Semide, José; Moniz, Gonçalo Canto; ",Kuarenta: documentário e centenário para uma República comunitária,Joelho: Revista de Cultura Arquitectónica,,06,262-267,2015,EDARQ
